'Communes';'Codes_Insee';'NB_Allocataires';'ALL_PAJE';'ALL_PRIM';'ALL_BASEP';'ALL_CMG';'ALL_CMG_ASMA';'ALL_CMG_DOM';'ALL_CMG_A';'ALL_Clca_Colca'
MAZEROLLES-DU-RAZES;11228;15;;;;;;;;
MAZUBY;11229;;;;;;;;;
MERIAL;11230;;;;;;;;;
MEZERVILLE;11231;8;;;;;;;;
MIRAVAL-CABARDES;11232;5;;;;;;;;
MIREPEISSET;11233;110;18;;;7;;;;5
MIREVAL-LAURAGAIS;11234;27;;;;;;;;
MISSEGRE;11235;7;;;;;;;;
MOLANDIER;11236;26;6;;;;;;;
MOLLEVILLE;11238;11;5;;;;;;;
MONTAURIOL;11239;9;;;;;;;;
MONTAZELS;11240;74;20;;;8;;;;
MONTBRUN-DES-CORBIERES;11241;37;7;;;;;;;
MONTCLAR;11242;24;;;;;;;;
MONTFERRAND;11243;60;17;;11;9;;;;7
MONTFORT-SUR-BOULZANE;11244;14;;;;;;;;
MONTGAILLARD;11245;13;;;;;;;;
MONTGRADAIL;11246;;;;;;;;;
MONTHAUT;11247;;;;;;;;;
MONTIRAT;11248;10;;;;;;;;
MONTJARDIN;11249;9;;;;;;;;
MONTJOI;11250;5;;;;;;;;
MONTLAUR;11251;65;11;;;;;;;5
MONTMAUR;11252;38;12;;;7;;;;
MONTOLIEU;11253;166;20;;;7;;;;
MONTREAL;11254;337;64;;52;17;;;;20
MONTREDON-DES-CORBIERES;11255;254;63;;53;26;;;;16
MONTSERET;11256;77;23;;;;;;;5
MONZE;11257;36;9;;;;;;;
MOUSSAN;11258;256;58;;47;25;;;;16
MOUSSOULENS;11259;149;30;;24;13;;;;8
MOUTHOUMET;11260;30;;;;;;;;
MOUX;11261;83;16;;;;;;;
NARBONNE;11262;12630;1557;30;1389;302;278;23;;230
NEBIAS;11263;36;;;;;;;;
NEVIAN;11264;169;35;;23;20;;;;8
NIORT-DE-SAULT;11265;5;;;;;;;;
PORT-LA-NOUVELLE;11266;1129;153;;142;20;;;;30
ORNAISONS;11267;147;23;;;8;;;;6
ORSANS;11268;18;;;;;;;;
OUVEILLAN;11269;358;69;;58;35;;;;11
PADERN;11270;13;;;;;;;;
PALAIRAC;11271;;;;;;;;;
PALAJA;11272;290;53;;41;20;;;;12
PARAZA;11273;83;19;;;6;;;;
PAULIGNE;11274;35;6;;;;;;;
PAYRA-SUR-L'HERS;11275;22;6;;;;;;;
PAZIOLS;11276;60;12;;;;;;;
PECHARIC-ET-LE-PY;11277;;;;;;;;;
PECH-LUNA;11278;6;;;;;;;;
PENNAUTIER;11279;371;74;;65;26;;;;18
PEPIEUX;11280;155;27;;;8;;;;6
PEXIORA;11281;224;51;;37;18;;;;13
PEYREFITTE-DU-RAZES;11282;16;;;;;;;;
PEYREFITTE-SUR-L'HERS;11283;11;;;;;;;;
PEYRENS;11284;66;20;;;8;;;;5
PEYRIAC-DE-MER;11285;153;22;;17;;;;;7
PEYRIAC-MINERVOIS;11286;171;33;;;6;;;;
PEYROLLES;11287;16;;;;;;;;
PEZENS;11288;265;78;;65;31;;;;12
PIEUSSE;11289;121;17;;;6;;;;
PLAIGNE;11290;11;;;;;;;;
PLAVILLA;11291;6;;;;;;;;
LA POMAREDE;11292;13;5;;;;;;;
POMAS;11293;112;23;;;11;;;;5
POMY;11294;11;;;;;;;;
PORTEL-DES-CORBIERES;11295;235;44;;37;22;;;;8
POUZOLS-MINERVOIS;11296;65;15;;;6;;;;7
PRADELLES-CABARDES;11297;20;;;;;;;;
PRADELLES-EN-VAL;11298;23;;;;;;;;
PREIXAN;11299;96;26;;21;8;;;;
PUGINIER;11300;14;5;;;;;;;
PUICHERIC;11301;172;29;;;11;;;;5
PUILAURENS;11302;34;6;;;;;;;
PUIVERT;11303;85;5;;;;;;;
QUILLAN;11304;664;48;;;;;;;8
QUINTILLAN;11305;5;;;;;;;;
QUIRBAJOU;11306;;;;;;;;;
RAISSAC-D'AUDE;11307;24;6;;;;;;;
RAISSAC-SUR-LAMPY;11308;75;17;;;5;;;;
RENNES-LE-CHATEAU;11309;13;;;;;;;;
RENNES-LES-BAINS;11310;67;6;;;;;;;
RIBAUTE;11311;49;;;;;;;;
RIBOUISSE;11312;11;;;;;;;;
RICAUD;11313;43;15;;;9;;;;
RIEUX-EN-VAL;11314;6;;;;;;;;
RIEUX-MINERVOIS;11315;296;34;;;9;;;;6
RIVEL;11316;33;5;;;;;;;
RODOME;11317;14;;;;;;;;
ROQUECOURBE-MINERVOIS;11318;11;;;;;;;;
ROQUEFERE;11319;22;;;;;;;;
ROQUEFEUIL;11320;28;;;;;;;;
ROQUEFORT-DE-SAULT;11321;15;;;;;;;;
ROQUEFORT-DES-CORBIERES;11322;148;32;;24;8;;;;7
ROQUETAILLADE;11323;23;;;;;;;;
ROUBIA;11324;73;19;;;;;;;
ROUFFIAC-D'AUDE;11325;62;13;;;7;;;;
ROUFFIAC-DES-CORBIERES;11326;16;;;;;;;;
ROULLENS;11327;74;7;;;;;;;
ROUTIER;11328;24;6;;;;;;;
ROUVENAC;11329;38;;;;;;;;
RUSTIQUES;11330;66;10;;;;;;;
SAINT-AMANS;11331;;;;;;;;;
SAINT-ANDRE-DE-ROQUELONGUE;11332;196;46;;34;23;;;;12
SAINT-BENOIT;11333;18;;;;;;;;
SAINTE-CAMELLE;11334;11;;;;;;;;
SAINTE-COLOMBE-SUR-GUETTE;11335;6;;;;;;;;
SAINTE-COLOMBE-SUR-L'HERS;11336;63;9;;;;;;;
SAINT-COUAT-D'AUDE;11337;45;7;;;;;;;
SAINT-COUAT-DU-RAZES;11338;9;;;;;;;;
SAINT-DENIS;11339;78;16;;11;5;;;;6
SAINTE-EULALIE;11340;62;17;;;5;;;;7
SAINT-FERRIOL;11341;21;;;;;;;;
SAINT-FRICHOUX;11342;27;;;;;;;;
SAINT-GAUDERIC;11343;16;;;;;;;;
SAINT-HILAIRE;11344;129;21;;;;;;;5
SAINT-JEAN-DE-BARROU;11345;22;5;;;;;;;
SAINT-JEAN-DE-PARACOL;11346;27;;;;;;;;
SAINT-JULIA-DE-BEC;11347;17;;;;;;;;
SAINT-JULIEN-DE-BRIOLA;11348;11;;;;;;;;
SAINT-JUST-ET-LE-BEZU;11350;10;;;;;;;;
SAINT-LAURENT-DE-LA-CABRERISSE;11351;95;16;;;;;;;6
SAINT-LOUIS-ET-PARAHOU;11352;7;;;;;;;;
SAINT-MARCEL-SUR-AUDE;11353;323;78;;71;22;;;;16
SAINT-MARTIN-DES-PUITS;11354;;;;;;;;;
SAINT-MARTIN-DE-VILLEREGLAN;11355;47;5;;;;;;;
SAINT-MARTIN-LALANDE;11356;150;28;;23;17;;;;5
SAINT-MARTIN-LE-VIEIL;11357;23;;;;;;;;
SAINT-MARTIN-LYS;11358;;;;;;;;;
SAINT-MICHEL-DE-LANES;11359;58;17;;;9;;;;
SAINT-NAZAIRE-D'AUDE;11360;295;70;;57;33;;;;19
SAINT-PAPOUL;11361;127;36;;31;13;;;;5
SAINT-PAULET;11362;30;11;;;;;;;
SAINT-PIERRE-DES-CHAMPS;11363;19;;;;;;;;
SAINT-POLYCARPE;11364;21;;;;;;;;
SAINT-SERNIN;11365;;;;;;;;;
SAINTE-VALIERE;11366;91;17;;;5;;;;5
SAISSAC;11367;189;25;;;;;;;7
SALLELES-CABARDES;11368;12;;;;;;;;
SALLELES-D'AUDE;11369;475;86;;76;21;;;;21
SALLES-D'AUDE;11370;467;106;;86;53;47;;;29
SALLES-SUR-L'HERS;11371;98;24;;18;8;;;;6
SALSIGNE;11372;54;10;;;;;;;
SALVEZINES;11373;7;;;;;;;;
SALZA;11374;;;;;;;;;
SEIGNALENS;11375;;;;;;;;;
LA SERPENT;11376;13;;;;;;;;
SERRES;11377;11;;;;;;;;
SERVIES-EN-VAL;11378;22;;;;;;;;
SIGEAN;11379;896;155;;123;57;;;;34
SONNAC-SUR-L'HERS;11380;15;;;;;;;;
SOUGRAIGNE;11381;31;;;;;;;;
SOUILHANELS;11382;46;9;;;;;;;
SOUILHE;11383;42;10;;;;;;;
SOULATGE;11384;29;5;;;;;;;
SOUPEX;11385;26;8;;;;;;;
TALAIRAN;11386;60;7;;;;;;;
TAURIZE;11387;13;;;;;;;;
TERMES;11388;9;;;;;;;;
TERROLES;11389;;;;;;;;;
THEZAN-DES-CORBIERES;11390;71;12;;;;;;;
LA TOURETTE-CABARDES;11391;;;;;;;;;
TOURNISSAN;11392;32;5;;;;;;;
TOUROUZELLE;11393;70;18;;;7;;;;
TOURREILLES;11394;19;;;;;;;;
TRASSANEL;11395;5;;;;;;;;
TRAUSSE;11396;74;18;;;6;;;;
TREBES;11397;1008;161;;150;28;;;;26
TREILLES;11398;46;;;;;;;;
TREVILLE;11399;11;;;;;;;;
TREZIERS;11400;22;;;;;;;;
TUCHAN;11401;98;18;;;6;;;;
VALMIGERE;11402;;;;;;;;;
VENTENAC-CABARDES;11404;116;20;;;7;;;;
VENTENAC-EN-MINERVOIS;11405;58;17;;;;;;;
VERAZA;11406;;;;;;;;;
VERDUN-EN-LAURAGAIS;11407;36;7;;;;;;;
VERZEILLE;11408;80;16;;;5;;;;
VIGNEVIEILLE;11409;16;;;;;;;;
VILLALIER;11410;170;36;;31;8;;;;8
VILLANIERE;11411;24;7;;;;;;;
VILLARDEBELLE;11412;9;;;;;;;;
VILLARDONNEL;11413;60;7;;;;;;;
VILLAR-EN-VAL;11414;;;;;;;;;
VILLAR-SAINT-ANSELME;11415;17;;;;;;;;
VILLARZEL-CABARDES;11416;37;10;;;;;;;
VILLARZEL-DU-RAZES;11417;10;;;;;;;;
VILLASAVARY;11418;185;38;;32;8;;;;8
VILLAUTOU;11419;9;;;;;;;;
VILLEBAZY;11420;20;;;;;;;;
VILLEDAIGNE;11421;61;14;;;;;;;8
VILLEDUBERT;11422;40;9;;;;;;;
VILLEFLOURE;11423;22;7;;;;;;;
VILLEFORT;11424;18;;;;;;;;
VILLEGAILHENC;11425;246;47;;39;12;;;;14
VILLEGLY;11426;149;38;;33;18;;;;11
VILLELONGUE-D'AUDE;11427;40;;;;;;;;
VILLEMAGNE;11428;38;8;;;;;;;
VILLEMOUSTAUSSOU;11429;621;139;;114;52;47;;;35
VILLENEUVE-LA-COMPTAL;11430;155;37;;32;18;;;;8
VILLENEUVE-LES-CORBIERES;11431;24;;;;;;;;
VILLENEUVE-LES-MONTREAL;11432;37;13;;;;;;;
VILLENEUVE-MINERVOIS;11433;129;24;;;7;;;;6
VILLEPINTE;11434;278;47;;41;14;;;;7
VILLEROUGE-TERMENES;11435;30;6;;;;;;;
VILLESEQUE-DES-CORBIERES;11436;68;6;;;;;;;
VILLESEQUELANDE;11437;133;25;;;9;;;;9
VILLESISCLE;11438;43;7;;;;;;;
VILLESPY;11439;55;5;;;;;;;
VILLETRITOULS;11440;;;;;;;;;
VINASSAN;11441;342;86;;67;48;;;;20
AGEN-D'AVEYRON;12001;127;34;;28;22;;;;5
AGUESSAC;12002;134;25;;;12;;;;11
LES ALBRES;12003;31;10;;;;;;;
ALMONT-LES-JUNIES;12004;45;8;;;;;;;
ALPUECH;12005;;;;;;;;;
ALRANCE;12006;22;6;;;;;;;
AMBEYRAC;12007;14;;;;;;;;
ANGLARS-SAINT-FELIX;12008;94;31;;;21;;;;9
ARNAC-SUR-DOURDOU;12009;;;;;;;;;
ARQUES;12010;10;;;;;;;;
ARVIEU;12011;51;10;;;;;;;
ASPRIERES;12012;93;24;;;15;;;;5
AUBIN;12013;505;78;;63;18;;;;19
AURELLE-VERLAC;12014;5;;;;;;;;
AURIAC-LAGAST;12015;16;;;;;;;;
AUZITS;12016;117;23;;;6;;;;8
AYSSENES;12017;15;;;;;;;;
BALAGUIER-D'OLT;12018;20;9;;;;;;;
BALAGUIER-SUR-RANCE;12019;7;;;;;;;;
BALSAC;12020;93;25;;20;19;;;;7
LA BASTIDE-L'EVEQUE;12021;77;17;;;11;;;;6
LA BASTIDE-PRADINES;12022;6;;;;;;;;
LA BASTIDE-SOLAGES;12023;7;;;;;;;;
BELCASTEL;12024;17;;;;;;;;
BELMONT-SUR-RANCE;12025;98;20;;;11;;;;8
BERTHOLENE;12026;106;35;;29;21;;;;12
BESSUEJOULS;12027;21;;;;;;;;
BOISSE-PENCHOT;12028;76;13;;;6;;;;
BOR-ET-BAR;12029;12;;;;;;;;
BOUILLAC;12030;55;7;;;;;;;
BOURNAZEL;12031;37;6;;;;;;;
BOUSSAC;12032;67;17;;12;12;;;;6
BOZOULS;12033;358;79;;58;50;;;;22
BRANDONNET;12034;26;7;;;;;;;
BRASC;12035;16;;;;;;;;
BROMMAT;12036;40;11;;;6;;;;
BROQUIES;12037;49;7;;;;;;;
BROUSSE-LE-CHATEAU;12038;12;;;;;;;;
BRUSQUE;12039;27;;;;;;;;
BUZEINS;12040;17;;;;;;;;
CABANES;12041;16;6;;;;;;;
CALMELS-ET-LE-VIALA;12042;18;5;;;;;;;
CALMONT;12043;296;64;;46;45;;;;20
CAMARES;12044;144;18;;;12;;;;
CAMBOULAZET;12045;49;15;;;9;;;;5
CAMJAC;12046;63;20;;;11;;;;7
CAMPAGNAC;12047;30;7;;;;;;;
CAMPOURIEZ;12048;20;6;;;;;;;
CAMPUAC;12049;44;15;;;;;;;
CANET-DE-SALARS;12050;31;7;;;;;;;
CANTOIN;12051;22;;;;;;;;
CAPDENAC-GARE;12052;729;112;;94;51;;;;26
LA CAPELLE-BALAGUIER;12053;31;9;;;;;;;
LA CAPELLE-BLEYS;12054;39;9;;;;;;;
LA CAPELLE-BONANCE;12055;7;;;;;;;;
BARAQUEVILLE;12056;434;101;;92;44;;;;24
CASSAGNES-BEGONHES;12057;78;27;;;14;;;;8
CASSUEJOULS;12058;7;;;;;;;;
CASTANET;12059;39;8;;;;;;;
CASTELMARY;12060;9;;;;;;;;
CASTELNAU-DE-MANDAILLES;12061;50;14;;;5;;;;6
CASTELNAU-PEGAYROLS;12062;33;11;;;;;;;
LA CAVALERIE;12063;168;47;;36;22;;;;12
LE CAYROL;12064;16;;;;;;;;
CENTRES;12065;30;5;;;;;;;
CLAIRVAUX-D'AVEYRON;12066;197;34;;;16;;;;14
LE CLAPIER;12067;9;;;;;;;;
COLOMBIES;12068;74;27;;;16;;;;10
COMBRET;12069;15;;;;;;;;
COMPEYRE;12070;61;21;;;;;;;10
COMPOLIBAT;12071;30;13;;;;;;;5
COMPREGNAC;12072;25;6;;;;;;;
COMPS-LA-GRAND-VILLE;12073;75;26;;19;19;;;;7
CONDOM-D'AUBRAC;12074;20;;;;;;;;
CONNAC;12075;5;;;;;;;;
CONQUES;12076;21;;;;;;;;
CORNUS;12077;31;8;;;;;;;
LES COSTES-GOZON;12078;10;;;;;;;;
COUBISOU;12079;35;7;;;;;;;
COUPIAC;12080;40;6;;;;;;;
COUSSERGUES;12081;26;9;;;;;;;
LA COUVERTOIRADE;12082;17;;;;;;;;
CRANSAC;12083;258;37;;;12;;;;5
CREISSELS;12084;191;50;;43;25;;;;14
CRESPIN;12085;18;5;;;;;;;
LA CRESSE;12086;25;7;;;;;;;
CRUEJOULS;12087;53;10;;;;;;;
CURIERES;12088;16;;;;;;;;
DECAZEVILLE;12089;1206;165;;158;24;;;;33
DRUELLE;12090;278;99;;82;66;55;;11;30
DRULHE;12091;44;11;;;;;;;
DURENQUE;12092;32;12;;;;;;;
LE FEL;12093;12;;;;;;;;
ENTRAYGUES-SUR-TRUYERE;12094;104;18;;12;9;;;;
ESCANDOLIERES;12095;22;;;;;;;;
ESPALION;12096;629;116;;100;39;;;;25
ESPEYRAC;12097;17;;;;;;;;
ESTAING;12098;41;6;;;;;;;
FAYET;12099;30;;;;;;;;
FIRMI;12100;339;56;;47;18;;;;17
FLAGNAC;12101;134;29;;22;11;;;;11
FLAVIN;12102;278;56;;48;41;;;;17
FLORENTIN-LA-CAPELLE;12103;12;;;;;;;;
FOISSAC;12104;65;12;;;5;;;;5
LA FOUILLADE;12105;109;23;;;8;;;;7
GABRIAC;12106;41;15;;;7;;;;7
GAILLAC-D'AVEYRON;12107;33;6;;;;;;;
GALGAN;12108;47;10;;;;;;;
GISSAC;12109;7;;;;;;;;
GOLINHAC;12110;28;;;;;;;;
GOUTRENS;12111;58;19;;;10;;;;8
GRAISSAC;12112;12;;;;;;;;
GRAMOND;12113;75;12;;;;;;;
GRAND-VABRE;12114;24;;;;;;;;
L'HOSPITALET-DU-LARZAC;12115;26;5;;;;;;;
HUPARLAC;12116;18;;;;;;;;
LACALM;12117;12;;;;;;;;
LACROIX-BARREZ;12118;33;7;;;;;;;
LAGUIOLE;12119;134;29;;21;16;;;;9
LAISSAC;12120;260;47;;37;32;;;;10
LANUEJOULS;12121;82;23;;14;;;;;
LAPANOUSE-DE-CERNON;12122;10;;;;;;;;
LAPANOUSE;12123;84;20;;;;;;;6
LASSOUTS;12124;27;5;;;;;;;
LAVAL-ROQUECEZIERE;12125;20;7;;;;;;;
LAVERNHE;12126;17;;;;;;;;
LEDERGUES;12127;56;6;;;;;;;
LESCURE-JAOUL;12128;24;;;;;;;;
LESTRADE-ET-THOUELS;12129;22;12;;;;;;;6
LIVINHAC-LE-HAUT;12130;160;29;;23;14;;;;7
LA LOUBIERE;12131;163;32;;;21;;;;10
LUC-LA-PRIMAUBE;12133;830;206;6;165;127;;;;55
LUGAN;12134;38;7;;;;;;;
LUNAC;12135;44;;;;;;;;
MALEVILLE;12136;89;23;;;9;;;;8
MANHAC;12137;93;35;;30;21;;;;9
MARCILLAC-VALLON;12138;272;45;;40;23;;;;20
MARNHAGUES-ET-LATOUR;12139;7;;;;;;;;
MARTIEL;12140;130;27;;;16;;;;8
MARTRIN;12141;23;;;;;;;;
MAYRAN;12142;69;21;;;15;;;;9
MELAGUES;12143;;;;;;;;;
MELJAC;12144;6;;;;;;;;
MILLAU;12145;4348;602;10;529;194;179;;9;181
LE MONASTERE;12146;296;69;;52;37;;;;19
MONTAGNOL;12147;22;;;;;;;;
MONTBAZENS;12148;166;37;;25;19;;;;7
MONTCLAR;12149;13;;;;;;;;
MONTEILS;12150;58;17;;;7;;;;5
MONTEZIC;12151;23;6;;;;;;;
MONTFRANC;12152;8;;;;;;;;
MONTJAUX;12153;40;9;;;;;;;
MONTLAUR;12154;91;21;;;9;;;;
FONDAMENTE;12155;32;5;;;;;;;
MONTPEYROUX;12156;35;9;;;;;;;
MONTROZIER;12157;194;65;;54;34;;;;21
MONTSALES;12158;32;9;;;;;;;
MORLHON-LE-HAUT;12159;68;17;;12;;;;;5
MOSTUEJOULS;12160;36;6;;;;;;;
MOURET;12161;50;12;;;6;;;;
MOYRAZES;12162;118;27;;17;20;;;;6
MURASSON;12163;14;7;;;;;;;
MUR-DE-BARREZ;12164;102;18;;;10;;;;8
MURET-LE-CHATEAU;12165;52;10;;;;;;;
MUROLS;12166;9;;;;;;;;
NAJAC;12167;81;10;;;;;;;
NANT;12168;140;17;;;11;;;;
NAUCELLE;12169;247;35;;26;17;;;;13
NAUSSAC;12170;26;9;;;;;;;
NAUVIALE;12171;63;13;;;;;;;
LE NAYRAC;12172;43;9;;;;;;;
NOAILHAC;12173;7;;;;;;;;
OLEMPS;12174;366;81;;68;35;30;;;20
OLS-ET-RINHODES;12175;20;;;;;;;;
ONET-LE-CHATEAU;12176;1858;368;11;325;111;104;;;74
PALMAS;12177;42;7;;;;;;;
PAULHE;12178;50;13;;;7;;;;
PEUX-ET-COUFFOULEUX;12179;;;;;;;;;
PEYRELEAU;12180;9;;;;;;;;
PEYRUSSE-LE-ROC;12181;24;6;;;;;;;
PIERREFICHE;12182;29;11;;;;;;;
PLAISANCE;12183;17;;;;;;;;
POMAYROLS;12184;7;;;;;;;;
PONT-DE-SALARS;12185;241;44;;37;24;;;;12
POUSTHOMY;12186;29;;;;;;;;
PRADES-D'AUBRAC;12187;14;;;;;;;;
PRADES-SALARS;12188;23;8;;;;;;;
PRADINAS;12189;36;8;;;;;;;
PREVINQUIERES;12190;26;11;;;6;;;;
PRIVEZAC;12191;37;12;;;;;;;
MOUNES-PROHENCOUX;12192;19;;;;;;;;
PRUINES;12193;35;;;;;;;;
QUINS;12194;87;26;;21;16;;;;9
REBOURGUIL;12195;22;5;;;;;;;
RECOULES-PREVINQUIERES;12196;60;9;;;;;;;
REQUISTA;12197;232;38;;33;11;;;;13
RIEUPEYROUX;12198;242;45;;37;23;;;;9
RIGNAC;12199;261;51;;45;16;;;;11
RIVIERE-SUR-TARN;12200;155;38;;28;20;;;;12
RODELLE;12201;113;36;;28;23;;;;9
RODEZ;12202;6720;634;19;565;151;126;;20;121
ROQUEFORT-SUR-SOULZON;12203;76;23;;;14;;;;7
LA ROQUE-SAINTE-MARGUERITE;12204;13;;;;;;;;
LA ROUQUETTE;12205;83;18;;;11;;;;8
ROUSSENNAC;12206;76;26;;18;13;;;;5
RULLAC-SAINT-CIRQ;12207;17;6;;;;;;;
SAINT-AFFRIQUE;12208;1398;207;;178;90;;;;55
SAINT-AMANS-DES-COTS;12209;81;7;;;;;;;
SAINT-ANDRE-DE-NAJAC;12210;46;;;;;;;;
SAINT-ANDRE-DE-VEZINES;12211;11;;;;;;;;
SAINT-BEAULIZE;12212;10;;;;;;;;
SAINT-BEAUZELY;12213;82;18;;;13;;;;8
SAINT-CHELY-D'AUBRAC;12214;39;;;;;;;;
SAINT-CHRISTOPHE-VALLON;12215;145;31;;23;19;;;;13
SAINT-COME-D'OLT;12216;152;25;;;10;;;;8
SAINTE-CROIX;12217;68;14;;9;6;;;;5
SAINT-CYPRIEN-SUR-DOURDOU;12218;92;18;;;13;;;;
SAINTE-EULALIE-D'OLT;12219;48;6;;;;;;;
SAINTE-EULALIE-DE-CERNON;12220;24;5;;;;;;;
SAINT-FELIX-DE-LUNEL;12221;22;5;;;;;;;
SAINT-FELIX-DE-SORGUES;12222;21;5;;;;;;;
SAINTE-GENEVIEVE-SUR-ARGENCE;12223;77;12;;;;;;;
SAINT-GENIEZ-D'OLT;12224;313;44;;33;25;;;;8
SAINT-GEORGES-DE-LUZENCON;12225;218;51;;46;28;;;;14
SAINT-HIPPOLYTE;12226;35;6;;;;;;;
SAINT-IGEST;12227;22;;;;;;;;
SAINT-IZAIRE;12228;36;;;;;;;;
SAINT-JEAN-D'ALCAPIES;12229;42;12;;;7;;;;
SAINT-JEAN-DELNOUS;12230;22;;;;;;;;
SAINT-JEAN-DU-BRUEL;12231;81;16;;;7;;;;6
SAINT-JEAN-ET-SAINT-PAUL;12232;25;5;;;;;;;
SAINT-JUERY;12233;13;;;;;;;;
SAINTE-JULIETTE-SUR-VIAUR;12234;72;25;;20;16;;;;8
SAINT-JUST-SUR-VIAUR;12235;19;;;;;;;;
SAINT-LAURENT-DE-LEVEZOU;12236;11;5;;;;;;;
SAINT-LAURENT-D'OLT;12237;69;11;;;5;;;;6
SAINT-LEONS;12238;41;10;;;;;;;
SAINT-MARTIN-DE-LENNE;12239;36;15;;;;;;;
SAINT-PARTHEM;12240;40;9;;;;;;;
SAINTE-RADEGONDE;12241;187;53;;44;34;;;;17
SAINT-REMY;12242;35;9;;;;;;;
SAINT-ROME-DE-CERNON;12243;86;24;;;13;;;;
SAINT-ROME-DE-TARN;12244;104;19;;12;11;;;;7
SAINT-SALVADOU;12245;39;8;;;;;;;
SAINT-SANTIN;12246;50;17;;;7;;;;
SAINT-SATURNIN-DE-LENNE;12247;21;;;;;;;;
SAINT-SERNIN-SUR-RANCE;12248;144;10;;;5;;;;
SAINT-SEVER-DU-MOUSTIER;12249;16;;;;;;;;
SAINT-SYMPHORIEN-DE-THENIERES;12250;12;;;;;;;;
SAINT-VICTOR-ET-MELVIEU;12251;39;6;;;;;;;
SALLES-COURBATIES;12252;52;7;;;;;;;
SALLES-CURAN;12253;88;18;;;13;;;;5
SALLES-LA-SOURCE;12254;243;63;;45;40;;;;23
SALMIECH;12255;88;21;;;9;;;;
SALVAGNAC-CAJARC;12256;32;5;;;;;;;
CAUSSE-ET-DIEGE;12257;83;30;;;15;;;;13
LA SALVETAT-PEYRALES;12258;83;13;;;6;;;;
SANVENSA;12259;72;16;;;11;;;;
SAUCLIERES;12260;21;;;;;;;;
SAUJAC;12261;6;;;;;;;;
SAUVETERRE-DE-ROUERGUE;12262;79;15;;;;;;;
SAVIGNAC;12263;81;28;;;16;;;;8
SEBAZAC-CONCOURES;12264;415;114;5;88;68;59;;7;37
SEBRAZAC;12265;42;6;;;;;;;
SEGUR;12266;36;7;;;;;;;
LA SELVE;12267;33;8;;;;;;;
SENERGUES;12268;24;6;;;;;;;
LA SERRE;12269;12;;;;;;;;
SEVERAC-LE-CHATEAU;12270;349;56;;;12;;;;15
SEVERAC-L'EGLISE;12271;44;15;;;8;;;;7
SONNAC;12272;60;19;;;9;;;;6
SOULAGES-BONNEVAL;12273;26;5;;;;;;;
SYLVANES;12274;5;;;;;;;;
TAURIAC-DE-CAMARES;12275;;;;;;;;;
TAURIAC-DE-NAUCELLE;12276;34;6;;;;;;;
TAUSSAC;12277;34;9;;;;;;;
TAYRAC;12278;14;;;;;;;;
LA TERRISSE;12279;;;;;;;;;
THERONDELS;12280;27;7;;;;;;;
TOULONJAC;12281;88;21;;;13;;;;
TOURNEMIRE;12282;46;10;;;;;;;
TREMOUILLES;12283;25;12;;;6;;;;
LE TRUEL;12284;24;5;;;;;;;
VABRE-TIZAC;12285;31;8;;;;;;;
VABRES-L'ABBAYE;12286;152;35;;;17;;;;14
VAILHOURLES;12287;79;17;;;8;;;;
VALADY;12288;197;49;;41;34;;;;12
VALZERGUES;12289;22;;;;;;;;
VAUREILLES;12290;64;16;;;9;;;;5
VERRIERES;12291;40;9;;;;;;;
VERSOLS-ET-LAPEYRE;12292;49;7;;;;;;;
VEYREAU;12293;13;;;;;;;;
VEZINS-DE-LEVEZOU;12294;34;9;;;;;;;
VIALA-DU-PAS-DE-JAUX;12295;6;;;;;;;;
VIALA-DU-TARN;12296;46;8;;;;;;;
LE VIBAL;12297;43;10;;;;;;;
VILLECOMTAL;12298;61;12;;;5;;;;5
VILLEFRANCHE-DE-PANAT;12299;73;12;;7;;;;;
VILLEFRANCHE-DE-ROUERGUE;12300;2136;331;5;288;102;;;;67
VILLENEUVE;12301;226;44;;34;24;;;;9
VIMENET;12303;18;7;;;;;;;
VITRAC-EN-VIADENE;12304;6;;;;;;;;
VIVIEZ;12305;198;33;;;7;;;;9
CURAN;12307;19;8;;;;;;;
AIX-EN-PROVENCE;13001;32048;3685;68;2935;1062;752;100;226;678
ALLAUCH;13002;2632;520;8;405;174;150;;16;109
ALLEINS;13003;315;74;;61;25;;;;19
ARLES;13004;11207;1745;39;1541;415;377;24;;402
AUBAGNE;13005;8594;1470;26;1297;370;313;;39;313
AUREILLE;13006;194;49;;38;23;;;;12
AURIOL;13007;1721;330;8;259;110;99;;7;78
AURONS;13008;63;15;;;;;;;
LA BARBEN;13009;114;25;;18;13;;;;
BARBENTANE;13010;538;104;;91;36;;;;29
LES BAUX-DE-PROVENCE;13011;45;;;;;;;;
BEAURECUEIL;13012;46;11;;6;6;;;;
BELCODENE;13013;250;54;;37;23;;;;9
BERRE-L'ETANG;13014;2632;458;13;430;57;52;;;105
BOUC-BEL-AIR;13015;1888;354;;251;145;110;17;25;91
LA BOUILLADISSE;13016;837;162;;132;53;47;;;38
BOULBON;13017;185;33;;22;14;;;;7
CABANNES;13018;628;138;;127;29;;;;34
CABRIES;13019;1191;275;5;164;133;94;;24;77
CADOLIVE;13020;285;70;;53;32;;;;22
CARRY-LE-ROUET;13021;681;113;;84;29;20;5;;29
CASSIS;13022;994;132;;116;28;21;;;20
CEYRESTE;13023;569;109;;79;38;28;;7;23
CHARLEVAL;13024;402;79;;68;31;;;;21
